mesh,method,mse_total,mae_total,mse_x,mse_y,mse_z,mae_x,mae_y,mae_z
cube,minmax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cube,unitsphere,4.001944815159751e-06,0.0016931092938112235,4.001944815159751e-06,4.001944815159751e-06,4.001944815159751e-06,0.0016931092938112235,0.0016931092938112235,0.0016931092938112235
